Name,MRP,Rate,Discount,Ratings,Packing
Swadeshi Garlic pills,120.0,113.0,6.0,3.6,bottle of 120 tablets
Purayati Natural Immunity Supplement Vegetarian Capsule,1490.0,1341.0,10.0,,bottle of 90 vegicaps
SBL Arsenicum Album 0/1 LM,150.0,139.0,7.0,,bottle of 20 gm Globules
Vyas Giloya Churna,90.0,88.0,2.0,4.4,box of 100 gm Churna
Pravek Chyawanprash,350.0,263.0,25.0,,jar of 1 kg Paste
Aavaaram Neem Enerj Plus 500mg Tablet,157.0,152.0,3.0,,bottle of 120 tablets
Geo Fresh Organic Tulsi 750mg Tablet,455.0,410.0,10.0,,bottle of 90 tablets
Himalaya Wellness Pure Herbs Neem Syrup,190.0,171.0,10.0,,bottle of 200 ml Syrup
Axiom Jeevan Ras Flu Treat Immunity Booster Juice,250.0,218.0,13.0,,bottle of 500 ml Juice
Meghdoot Special Chyawanprash,320.0,272.0,15.0,4,jar of 1 kg Paste
Bhumija Lifesciences Panch Tulasi Drop,220.0,147.0,33.0,3.9,bottle of 25 ml Drop
Swadeshi Tulsi Churna,60.0,56.0,6.0,4.1,jar of 80 gm Churna
Garlicon Tablet,180.0,176.0,2.0,,strip of 60 tablets
Dindayal Chyawanprash Kesar Yukta,325.0,302.0,7.0,3.7,jar of 1 kg Paste
Four Seasons Neem Juice,160.0,147.0,8.0,,bottle of 500 ml Juice
Meghdoot Triphla Prash,150.0,146.0,2.0,3.9,jar of 500 gm Paste
Vedaone Neem Capsule,175.0,170.0,3.0,,bottle of 60 capsules
Biotrex Curcumin 250mg Capsule,800.0,644.0,19.0,,bottle of 60 capsules
Natureal Neem Extract 800mg Capsule,1999.0,478.0,76.0,,bottle of 60 capsules
Dr Willmar Schwabe India Arsenicum Album Dilution 6 CH,90.0,83.0,7.0,,bottle of 30 ml Dilution
Kudos Tulsi Gold Green Tea,249.0,222.0,11.0,4.8,box of 100 gm Tea
Kudos Karela Jamun Juice,175.0,156.0,11.0,3.9,bottle of 500 ml Juice
Myvitaa Pure Vitamin C 500mg Veggie Caps,450.0,374.0,17.0,,bottle of 30 vegicaps
GNC Triple Cod Liver Oil Softgels,2199.0,1692.0,23.0,,bottle of 90 soft gelatin capsules
Simply Herbal Pure Turmeric Curcumin & Piperine Extract Capsule,1999.0,880.0,56.0,4.3,bottle of 60 capsules
Yuvika Giloy Powder - Geeloh - Guduchi - Tinospora Cordifolia,499.0,255.0,49.0,4.1,packet of 400 gm Powder
Yuvika Giloy Powder - Geeloh - Guduchi - Tinospora Cordifolia,299.0,149.0,50.0,4.1,packet of 100 gm Powder
Basic Ayurveda Basic 5 Greens Panch Ras,425.0,361.0,15.0,4.1,bottle of 1000 ml Juice
AVG Tulsi Vital Drop,225.0,184.0,18.0,4.3,bottle of 30 ml Drop
Indian Remedies Extract of Tulsi Capsule,220.0,216.0,2.0,,bottle of 100 capsules
SBS Karela Jamun Neem Swaras Sugar Free,300.0,260.0,13.0,4.6,bottle of 1000 ml Juice
HealthVit Vitamin C Pure Powder,600.0,420.0,30.0,,bottle of 100 gm Powder
