Name,MRP,Rate,Discount,Ratings,Packing
Lizol Disinfectant Surface Cleaner Citrus,115.0,101.0,12.0,4.3,bottle of 625 ml Liquid
Dabur Sanitize Air Sanitizer,220.0,220.0,0.0,,pump bottle of 240 ml Sanitizer
Lizol Disinfectant Surface Cleaner Floral,115.0,101.0,12.0,4.3,bottle of 625 ml Liquid
Lizol Kitchen Power Cleaner Orange Burst,83.0,71.0,14.0,4.8,pump bottle of 250 ml Liquid
Lizol Disinfectant Surface Cleaner Floral,38.0,36.0,5.0,4.3,bottle of 200 ml Liquid
Lizol Bathroom Power Cleaner Ocean Breeze,83.0,71.0,14.0,4.4,pump bottle of 250 ml Liquid
Lizol Disinfectant Surface Cleaner Neem,38.0,36.0,5.0,4.3,bottle of 200 ml Liquid
AyurFresh Fruits & Vegetables Processed Food Wash,350.0,350.0,0.0,,bottle of 500 ml Liquid
Lizol Disinfectant Surface Cleaner Jasmine,38.0,36.0,5.0,4.3,bottle of 200 ml Liquid
Dabur Sanitize Disinfectant Spray,199.0,199.0,0.0,,pump bottle of 215 ml Sanitizer
Lizol Disinfectant Surface Cleaner Refreshing Tulsi,38.0,36.0,5.0,4.3,bottle of 200 ml Liquid
Diversey Avert Plus Stabilised Sodium Hypochlorite Cleaner,6050.0,6050.0,0.0,,Canister of 50 Ltr Liquid
Arora New Pack Crystal Violet Paint,40.0,40.0,0.0,,bottle of 20 ml Paint
Schulke Terralin NaDCC Effervescent Disinfectant Tablet,450.0,450.0,0.0,,bottle of 50 Effervescent Tablet
Korsolex Rapid Microbicidal Disinfectant,828.0,828.0,0.0,,bottle of 500 ml Liquid
Unilife Pocket Surface Disinfectant Spray,110.0,110.0,0.0,,bottle of 18 ml Spray
SteriAll-MC Multipurpose Disinfectant Cleaning Solution,182.0,173.0,5.0,,bottle of 1 Ltr Liquid
Lizol Double Concentrate Disinfectant Surface Cleaner Citrus,650.0,650.0,0.0,,bottle of 1.9 Ltr Liquid
TNW Instant Disinfectant Spray,200.0,200.0,0.0,,pump bottle of 100 ml Liquid
Raman Glutihyde 2% Solution,486.0,486.0,0.0,,jar of 5 Ltr Liquid
Diversey Virex II 256 Disinfectant,6139.0,6139.0,0.0,,Canister of 5 Ltr Liquid
Disilon Forte QAC 1% Hand Disinfectant Liquid Sanitizer,410.0,397.0,3.0,,pump bottle of 500 ml Sanitizer
Dr Rhazes 7 Day Protection Surface Disinfectant Shield Spray,450.0,428.0,5.0,,pump bottle of 500 ml Spray
Germisol Phenol,87.0,87.0,0.0,,bottle of 1 Ltr Liquid
UE Multi Purpose Disinfectant Aerosol,315.0,254.0,19.0,,bottle of 250 ml Liquid
ZM Labs Surface & Air Disinfectant Spray,170.0,162.0,4.0,,pump bottle of 250 ml Spray
Dr Rhazes 7 Day Protection Surface Disinfectant Shield Spray,350.0,333.0,5.0,,pump bottle of 250 ml Spray
Organic Harvest Vegetables & Fruit Wash,445.0,445.0,0.0,,bottle of 500 ml Liquid
Bubbles Natural Vegetable & Fruit Wash,399.0,349.0,12.0,,bottle of 500 ml Liquid
Dr Rhazes Surface & Air Disinfectant Spray,170.0,162.0,4.0,,pump bottle of 250 ml Spray
Chicco Combo Pack of Sterlizer 2 in1 and Multi-Purpose Disinfectant 500ml,3278.0,3114.0,5.0,,combo pack of 2 units
Organic Harvest Vegetables & Fruit Wash,195.0,195.0,0.0,,bottle of 200 ml Liquid
